MCC2 | V76E -> V76E - Set Min Impulse Mode in DAP
MCC2 | V93E (Reinitialize W-Matrix) -> V93E (Reinitialize W-Matrix) - Enable W-Matrix Initialization
MCC2 | 35E -> 35E - TPM Pre-Thrust (Transfer Phase Midcourse)
MCC2 | 41E -> 41E - RCS (Reaction Control System)
MCC2 | V77E -> V77E - Set Rate Command/Attitude Hold Mode in DAP
CSM Active Docking | V34E -> V34E - Terminate
CSM Active Docking | V37E 00E -> V37E 00E - Change Program - LGC Idle
CSM Active Docking | V41 N72E -> V41 N72E - Coarse Align CDU’s (Specify N20 or N72) - R1=RR Trunnion Angle, R2=RR Shaft Angle (.01°)
CSM Active Docking | V16 N72E -> V16 N72E - Monitor Decimal - R1=RR Trunnion Angle, R2=RR Shaft Angle (.01°)
CSM Active Docking | V44E -> V44E - Terminate Continuous Designate (V41N72 Option 2)
CSM Active Docking | V48E -> V48E - Load DAP Data (R03)
CSM Active Docking | V21E -> V21E - Load Component 1 in R1
CSM Active Docking | V24E -> V24E - Load Component 1&2
CSM Active Docking | V37E 00E -> V37E 00E - Change Program - LGC Idle
CSM Active Docking | V76E -> V76E - Set Min Impulse Mode in DAP
Reject LR | V60E -> V60E - Command LR To Pos. 2
Reject LR | V16 N66E -> V16 N66E - Monitor Decimal - R1=LR Slant Range, R2=LR Position (ft 00001/00002)
LGC Clock Sync & TEPHEM Update | V25 N36E -> V25 N36E - Load Component 1&2&3 - LGC Clock Time (hrs min .01sec)
LGC Clock Sync & TEPHEM Update | V06 N65E -> V06 N65E - Display Decimal - (noun not found)
LGC Clock Sync & TEPHEM Update | V55E -> V55E - Increment LGC Time (Decimal)
LGC Clock Sync & TEPHEM Update | V25 N01E -> V25 N01E - Load Component 1&2&3 - Address to be Specified (Frac) (.XXXXX)
LGC Clock Sync & TEPHEM Update | V05 N01E -> V05 N01E - Display Octal Comp 1,2&3 - Address to be Specified (Frac) (.XXXXX)
LGC Clock Sync & TEPHEM Update | V37E 00E -> V37E 00E - Change Program - LGC Idle
RR Checkout | V41 N72E -> V41 N72E - Coarse Align CDU’s (Specify N20 or N72) - R1=RR Trunnion Angle, R2=RR Shaft Angle (.01°)
RR Checkout | V16 N72E -> V16 N72E - Monitor Decimal - R1=RR Trunnion Angle, R2=RR Shaft Angle (.01°)
RR Checkout | V83E -> V83E - Rendezvous Parameter Display (R31)
RR Checkout | V44E -> V44E - Terminate Continuous Designate (V41N72 Option 2)
RR Checkout | V63E -> V63E - Start RR/LR Self-Test
RR Checkout | V34E -> V34E - Terminate
RR Checkout | V41 N72E -> V41 N72E - Coarse Align CDU’s (Specify N20 or N72) - R1=RR Trunnion Angle, R2=RR Shaft Angle (.01°)
RR Checkout | V16 N72E -> V16 N72E - Monitor Decimal - R1=RR Trunnion Angle, R2=RR Shaft Angle (.01°)
RR Checkout | V44E -> V44E - Terminate Continuous Designate (V41N72 Option 2)
RCS Checkout | V48E -> V48E - Load DAP Data (R03)
RCS Checkout | V34E -> V34E - Terminate
RCS Checkout | V77E -> V77E - Set Rate Command/Attitude Hold Mode in DAP
RCS Checkout | V15 N01E -> V15 N01E - Monitor Octal Comp 1,2&3 - Address to be Specified (Frac) (.XXXXX)
RCS Checkout | 42E -> 42E - APS (Ascent Propulsion System)
RCS Checkout | V76E -> V76E - Set Min Impulse Mode in DAP
RCS Checkout | V11 N10E -> V11 N10E - Monitor Octal Comp 1 in R1 - Channel to be Specified (Octal)
RCS Checkout | 31E -> 31E - Lambert Aim Point Guidance
RCS Checkout | V11 N10E -> V11 N10E - Monitor Octal Comp 1 in R1 - Channel to be Specified (Octal)
RCS Checkout | V77E -> V77E - Set Rate Command/Attitude Hold Mode in DAP
PGNS Turn-On & Self Test | V36E -> V36E - Request Fresh Start
PGNS Turn-On & Self Test | V21 N01E -> V21 N01E - Load Component 1 in R1 - Address to be Specified (Frac) (.XXXXX)
PGNS Turn-On & Self Test | V35E -> V35E - Test Lights (P00 only)
PGNS Turn-On & Self Test | V37E 00E -> V37E 00E - Change Program - LGC Idle
PGNS Turn-On & Self Test | V25 N01E -> V25 N01E - Load Component 1&2&3 - Address to be Specified (Frac) (.XXXXX)
PGNS Turn-On & Self Test | V15 N01E -> V15 N01E - Monitor Octal Comp 1,2&3 - Address to be Specified (Frac) (.XXXXX)
PGNS Turn-On & Self Test | V21 N27E -> V21 N27E - Load Component 1 in R1 - Self Test ON/OFF (Octal)
PGNS Turn-On & Self Test | 10E -> 10E - (program not found)
PGNS Turn-On & Self Test | V21 N27E -> V21 N27E - Load Component 1 in R1 - Self Test ON/OFF (Octal)
DAP Set, Gimbal Throttle Test | V48E -> V48E - Load DAP Data (R03)
DAP Set, Gimbal Throttle Test | V21E -> V21E - Load Component 1 in R1
DAP Set, Gimbal Throttle Test | V24E -> V24E - Load Component 1&2
DAP Set, Gimbal Throttle Test | V24E -> V24E - Load Component 1&2
RNDZ RDR Self Test | V25 N07E -> V25 N07E - Load Component 1&2&3 - Flag Word Operator, R1=ECADR, R2=BIT ID, R3=Action (Octal)
RNDZ RDR Self Test | 10E -> 10E - (program not found)
RNDZ RDR Self Test | V63E -> V63E - Start RR/LR Self-Test
RNDZ RDR Self Test | V34E -> V34E - Terminate
RNDZ RDR Self Test | V40 N72E -> V40 N72E - Zero CDU’s (Specify N20 or N72) - R1=RR Trunnion Angle, R2=RR Shaft Angle (.01°)
RNDZ RDR Self Test | V41 N72E -> V41 N72E - Coarse Align CDU’s (Specify N20 or N72) - R1=RR Trunnion Angle, R2=RR Shaft Angle (.01°)
RNDZ RDR Self Test | V16 N72E -> V16 N72E - Monitor Decimal - R1=RR Trunnion Angle, R2=RR Shaft Angle (.01°)
RNDZ RDR Self Test | V44E -> V44E - Terminate Continuous Designate (V41N72 Option 2)
RNDZ RDR Self Test | V41 N72E -> V41 N72E - Coarse Align CDU’s (Specify N20 or N72) - R1=RR Trunnion Angle, R2=RR Shaft Angle (.01°)
RNDZ RDR Self Test | V16 N72E -> V16 N72E - Monitor Decimal - R1=RR Trunnion Angle, R2=RR Shaft Angle (.01°)
RNDZ RDR Self Test | V44E -> V44E - Terminate Continuous Designate (V41N72 Option 2)
RNDZ RDR Self Test | V41 N72E -> V41 N72E - Coarse Align CDU’s (Specify N20 or N72) - R1=RR Trunnion Angle, R2=RR Shaft Angle (.01°)
RNDZ RDR Self Test | V16 N72E -> V16 N72E - Monitor Decimal - R1=RR Trunnion Angle, R2=RR Shaft Angle (.01°)
RNDZ RDR Self Test | V44E -> V44E - Terminate Continuous Designate (V41N72 Option 2)
LDG RDR Self Test | V63E -> V63E - Start RR/LR Self-Test
LDG RDR Self Test | V22E -> V22E - Load Component 2 in R2
LDG RDR Self Test | V34E -> V34E - Terminate
LDG RDR Self Test | V60E -> V60E - Command LR To Pos. 2
LDG RDR Self Test | V63E -> V63E - Start RR/LR Self-Test
LDG RDR Self Test | V22E -> V22E - Load Component 2 in R2
LDG RDR Self Test | V34E -> V34E - Terminate
AGS Initialization | V16 N65E -> V16 N65E - Monitor Decimal - (noun not found)
AGS Initialization | V47E -> V47E - Initialize AGS (R47)
AGS Initialization | V83E -> V83E - Rendezvous Parameter Display (R31)
AGS Update | V47E -> V47E - Initialize AGS (R47)
AGS Calibration | V16 N20E -> V16 N20E - Monitor Decimal - ICDU Angles Y,P,R (OG,IG,MG) (.01°)
AGS Calibration | V40 N20E -> V40 N20E - Zero CDU’s (Specify N20 or N72) - ICDU Angles Y,P,R (OG,IG,MG) (.01°)
P22 Lunar Surface Navigation | V37E 22E -> V37E 22E - Change Program - Lunar Surface Navigation
P22 Lunar Surface Navigation | V95E -> V95E - Inhibit State Vector Update (P20 or P22)
P22 Lunar Surface Navigation | V16 N78E -> V16 N78E - Monitor Decimal - R1=RR Range, R2=RR Range Rate (.01nm fps)
P22 Lunar Surface Navigation | V56E -> V56E - Terminate Tracking (P20,P22,&P25)
P30 External dV | V37E 30E -> V37E 30E - Change Program - External ?V
P30 External dV | 00E -> 00E - LGC Idle
P40 DPS Thrusting | V48E -> V48E - Load DAP Data (R03)
P40 DPS Thrusting | V21E -> V21E - Load Component 1 in R1
P40 DPS Thrusting | V24E -> V24E - Load Component 1&2
P40 DPS Thrusting | V34E -> V34E - Terminate
P40 DPS Thrusting | V37E 00E -> V37E 00E - Change Program - LGC Idle
P40 DPS Thrusting | V37E 40E -> V37E 40E - Change Program - DPS (Descent Propulsion System)
P40 DPS Thrusting | 00E -> 00E - LGC Idle
P41 RCS Thrusting | V48E -> V48E - Load DAP Data (R03)
P41 RCS Thrusting | V21E -> V21E - Load Component 1 in R1
P41 RCS Thrusting | V24E -> V24E - Load Component 1&2
P41 RCS Thrusting | V34E -> V34E - Terminate
